date,pce,pop,psavert,uempmed,unemploy,class
01/07/1967,506.7,198712,12.6,4.5,2944,Train
01/08/1967,509.8,198911,12.6,4.7,2945,Train
01/09/1967,515.6,199113,11.9,4.6,2958,Train
01/10/1967,512.2,199311,12.9,4.9,3143,Train
01/11/1967,517.4,199498,12.8,4.7,3066,Train
01/12/1967,525.1,199657,11.8,4.8,3018,Train
01/01/1968,530.9,199808,11.7,5.1,2878,Train
01/02/1968,533.6,199920,12.3,4.5,3001,Train
01/03/1968,544.3,200056,11.7,4.1,2877,Train
01/04/1968,544,200208,12.3,4.6,2709,Train
01/05/1968,549.8,200361,12,4.4,2740,Train
01/06/1968,556.3,200536,11.7,4.4,2938,Train
01/07/1968,563.2,200706,10.7,4.5,2883,Train
01/08/1968,567,200898,10.5,4.2,2768,Train
01/09/1968,568.2,201095,10.6,4.6,2686,Train
01/10/1968,571.6,201290,10.8,4.8,2689,Train
01/11/1968,576.7,201466,10.6,4.4,2715,Train
01/12/1968,576.5,201621,11.1,4.4,2685,Train
01/01/1969,583.5,201760,10.3,4.4,2718,Train
01/02/1969,588.7,201881,9.7,4.9,2692,Train
01/03/1969,588.9,202023,10.2,4,2712,Test
01/04/1969,593.9,202161,9.7,4,2758,Train
01/05/1969,600.3,202331,10.1,4.2,2713,Train
01/06/1969,600.9,202507,11.1,4.4,2816,Train
01/07/1969,602.7,202677,11.8,4.4,2868,Train
01/08/1969,609.9,202877,11.5,4.4,2856,Train
01/09/1969,613.2,203090,11.6,4.7,3040,Train
01/10/1969,618.5,203302,11.4,4.5,3049,Train
01/11/1969,620.5,203500,11.6,4.8,2856,Train
01/12/1969,622.8,203675,11.8,4.6,2884,Test
01/01/1970,628.7,203849,11.8,4.6,3201,Train
01/02/1970,634,204008,11.7,4.5,3453,Train
01/03/1970,632.3,204156,12.4,4.6,3635,Train
01/04/1970,636,204401,13.3,4.1,3797,Train
01/05/1970,642.4,204607,12.4,4.7,3919,Train
01/06/1970,646.3,204830,12.3,4.9,4071,Train
01/07/1970,648.5,205052,13.5,5.1,4175,Train
01/08/1970,652.9,205295,13.4,5.4,4256,Test
01/09/1970,659.1,205540,12.9,5.2,4456,Train
01/10/1970,658.3,205788,13.1,5.2,4591,Train
01/11/1970,656.6,206024,13.6,5.6,4898,Train
01/12/1970,665.6,206238,13.2,5.9,5076,Train
01/01/1971,676.1,206466,13.3,6.2,4986,Train
01/02/1971,679.4,206668,13.3,6.3,4903,Test
01/03/1971,682,206855,13.5,6.4,4987,Train
01/04/1971,688.8,207065,13.2,6.5,4959,Train
01/05/1971,691.1,207260,13.6,6.7,4996,Train
01/06/1971,699.8,207462,14.7,5.7,4949,Train
01/07/1971,698.9,207661,13.8,6.2,5035,Train
01/08/1971,704.9,207881,13.6,6.4,5134,Train
01/09/1971,713,208114,13.3,5.8,5042,Train
01/10/1971,715.8,208345,13.3,6.5,4954,Test
01/11/1971,720.9,208555,13.1,6.4,5161,Train
01/12/1971,728.4,208740,13,6.2,5154,Train
01/01/1972,731.5,208917,12.5,6.2,5019,Train
01/02/1972,736.2,209061,12.8,6.6,4928,Train
01/03/1972,749.2,209212,11.8,6.6,5038,Train
01/04/1972,752.5,209386,11.5,6.7,4959,Train
01/05/1972,758,209545,11.7,6.6,4922,Train
01/06/1972,761.6,209725,11.7,5.4,4923,Test
01/07/1972,769.9,209896,11.7,6.1,4913,Train
01/08/1972,776.3,210075,12,6,4939,Train
01/09/1972,781.1,210278,12.2,5.6,4849,Train
01/10/1972,794.9,210479,13,5.7,4875,Train
01/11/1972,800.5,210656,13.6,5.7,4602,Train
01/12/1972,806.1,210821,13.7,6.1,4543,Train
01/01/1973,816.5,210985,12.4,5.7,4326,Train
01/02/1973,825.8,211120,12.5,5.2,4452,Test
01/03/1973,832.8,211254,12.7,5.5,4394,Train
01/04/1973,835.7,211420,13.2,5,4459,Train
01/05/1973,841.6,211577,13.2,4.9,4329,Train
01/06/1973,844.3,211746,13.6,5,4363,Train
01/07/1973,854.1,211909,13.2,5.2,4305,Train
01/08/1973,853.3,212092,13.9,4.9,4305,Train
01/09/1973,869.2,212289,13.1,5.4,4350,Train
01/10/1973,868.2,212475,14.4,5.5,4144,Train
01/11/1973,876.9,212634,14.4,5.1,4396,Test
01/12/1973,876.6,212785,14.8,4.7,4489,Train
01/01/1974,884.5,212932,14.3,5,4644,Train
01/02/1974,889.7,213074,14.2,5.1,4731,Train
01/03/1974,901.4,213211,13.4,4.8,4634,Train
01/04/1974,910.8,213361,13.1,5,4618,Train
01/05/1974,922.4,213513,12.8,4.6,4705,Train
01/06/1974,928,213686,12.8,5.3,4927,Train
01/07/1974,937.9,213854,12.8,5.7,5063,Train
01/08/1974,954.8,214042,12.1,5,5022,Train
01/09/1974,955.1,214246,12.9,5.3,5437,Test
01/10/1974,959.2,214451,13.4,5.5,5523,Train
01/11/1974,956.2,214625,13.8,5.2,6140,Train
01/12/1974,961.8,214782,14,5.7,6636,Train
01/01/1975,975.6,214931,13.2,6.3,7501,Train
01/02/1975,989.4,215065,12.5,7.1,7520,Train
01/03/1975,990.6,215198,12.7,7.2,7978,Train
01/04/1975,995,215353,14.2,8.7,8210,Train
01/05/1975,1018.9,215523,17.3,9.4,8433,Test
01/06/1975,1026.8,215768,14.3,8.8,8220,Train
01/07/1975,1039.8,215973,12.6,8.6,8127,Train
01/08/1975,1047,216195,13,9.2,7928,Train
01/09/1975,1054.8,216393,13,9.2,7923,Train
01/10/1975,1060.9,216587,13.4,8.6,7897,Train
01/11/1975,1075.8,216771,12.7,9.5,7794,Train
01/12/1975,1092.1,216931,12,9,7744,Train
01/01/1976,1107.1,217095,11.7,9,7534,Train
01/02/1976,1107.7,217249,12.3,8.2,7326,Test
01/03/1976,1114.9,217381,12.2,8.7,7230,Train
01/04/1976,1125.4,217528,11.7,8.2,7330,Train
01/05/1976,1122.7,217685,12.3,8.3,7053,Train
01/06/1976,1140.5,217861,11.4,7.8,7322,Train
01/07/1976,1149.6,218035,11.7,7.7,7490,Train
01/08/1976,1158,218233,11.7,7.9,7518,Train
01/09/1976,1168.8,218440,11.4,7.8,7380,Train
01/10/1976,1176.8,218644,11.1,7.7,7430,Train
01/11/1976,1189,218834,11.4,8.4,7620,Test
01/12/1976,1211.5,219006,10.6,8,7545,Train
01/01/1977,1215,219179,10.6,7.5,7280,Train
01/02/1977,1231.3,219344,9.3,7.2,7443,Train
01/03/1977,1238.3,219504,10.5,7.2,7307,Train
01/04/1977,1247.3,219684,10.5,7.3,7059,Train
01/05/1977,1257.1,219859,10.3,7.9,6911,Train
01/06/1977,1263.6,220046,10.6,6.2,7134,Train
01/07/1977,1280.5,220239,10.5,7.1,6829,Train
01/08/1977,1285.7,220458,10.9,7,6925,Train
01/09/1977,1294.5,220688,11.1,6.7,6751,Train
01/10/1977,1311.4,220904,11,6.9,6763,Train
01/11/1977,1327,221109,11.2,7,6815,Train
01/12/1977,1336,221303,11.4,6.8,6386,Train
01/01/1978,1329.5,221477,11.9,6.5,6489,Train
01/02/1978,1355.1,221629,11.1,6.7,6318,Train
01/03/1978,1377.5,221792,11,6.2,6337,Train
01/04/1978,1396.4,221991,10.8,6.1,6180,Train
01/05/1978,1412,222176,10.3,5.7,6127,Train
01/06/1978,1425.8,222379,10,6,6028,Train
01/07/1978,1426.8,222585,10.9,5.8,6309,Train
01/08/1978,1447,222805,10.5,5.8,6080,Train
01/09/1978,1452.9,223053,10.6,5.6,6125,Train
01/10/1978,1466.9,223271,10.7,5.9,5947,Train
01/11/1978,1480.6,223477,10.5,5.5,6077,Train
01/12/1978,1496.5,223670,10.4,5.6,6228,Train
01/01/1979,1502.4,223865,11.1,5.9,6109,Train
01/02/1979,1517.8,224053,11.1,5.9,6173,Train
01/03/1979,1531.2,224235,11.2,5.9,6109,Train
01/04/1979,1538.4,224438,11,5.4,6069,Train
01/05/1979,1558.8,224632,10.3,5.6,5840,Train
01/06/1979,1575.7,224843,9.9,5.6,5959,Train
01/07/1979,1586.1,225055,10.6,5.9,5996,Train
01/08/1979,1615.6,225295,9.7,4.8,6320,Train
01/09/1979,1633.9,225547,9.4,5.5,6190,Train
01/10/1979,1641.6,225801,9.7,5.5,6296,Train
01/11/1979,1657.3,226027,9.7,5.3,6238,Train
01/12/1979,1666.3,226243,10.1,5.7,6325,Train
01/01/1980,1697.3,226451,9.9,5.3,6683,Train
01/02/1980,1701.4,226656,10.1,5.8,6702,Train
01/03/1980,1708.2,226849,10.2,6,6729,Train
01/04/1980,1695.2,227061,11.3,5.8,7358,Train
01/05/1980,1700.1,227251,11.4,5.7,7984,Train
01/06/1980,1718.8,227522,11.2,6.4,8098,Train
01/07/1980,1747.1,227726,11.3,7,8363,Train
01/08/1980,1763.8,227953,11.3,7.5,8281,Train
01/09/1980,1780.5,228186,11.7,7.7,8021,Train
01/10/1980,1817.1,228417,11.3,7.5,8088,Train
01/11/1980,1826.8,228612,11.6,7.7,8023,Train
01/12/1980,1851.7,228779,11.4,7.5,7718,Train
01/01/1981,1870,228937,10.9,7.4,8071,Train
01/02/1981,1884.2,229071,10.8,7.1,8051,Train
01/03/1981,1902.9,229224,10.8,7.1,7982,Train
01/04/1981,1904.4,229403,10.9,7.4,7869,Train
01/05/1981,1913.8,229575,11,6.9,8174,Train
01/06/1981,1934.5,229761,10.8,6.6,8098,Train
01/07/1981,1942.1,229966,12.3,7.1,7863,Train
01/08/1981,1966.6,230187,12,7.2,8036,Train
01/09/1981,1965.5,230412,12.4,6.8,8230,Train
01/10/1981,1963.9,230641,13,6.8,8646,Train
01/11/1981,1970.6,230822,13.2,6.9,9029,Train
01/12/1981,1988.8,230989,12.5,6.9,9267,Train
01/01/1982,1997.1,231157,12.7,7.1,9397,Train
01/02/1982,2021.2,231313,12.1,7.5,9705,Train
01/03/1982,2024.1,231470,12.2,7.7,9895,Train
01/04/1982,2026.3,231645,12.9,8.1,10244,Train
01/05/1982,2044.5,231809,12.3,8.5,10335,Train
01/06/1982,2048.1,231992,12.3,9.5,10538,Train
01/07/1982,2072.2,232188,12.5,8.5,10849,Train
01/08/1982,2080.1,232392,12.6,8.7,10881,Train
01/09/1982,2104.6,232599,11.8,9.5,11217,Train
01/10/1982,2125.8,232816,11.3,9.7,11529,Train
01/11/1982,2149.3,232993,10.9,10,11938,Train
01/12/1982,2161.6,233160,10.9,10.2,12051,Train
01/01/1983,2174,233322,11.1,11.1,11534,Train
01/02/1983,2177,233473,11.1,9.8,11545,Train
01/03/1983,2202.8,233613,10.6,10.4,11408,Train
01/04/1983,2226.4,233781,10.3,10.9,11268,Train
01/05/1983,2245.9,233922,9.9,12.3,11154,Train
01/06/1983,2276,234118,9.1,11.3,11246,Train
01/07/1983,2304.4,234307,9.6,10.1,10548,Train
01/08/1983,2320.4,234501,9.2,9.3,10623,Train
01/09/1983,2334.9,234701,9.6,9.3,10282,Train
01/10/1983,2357.6,234907,9.7,9.4,9887,Train
01/11/1983,2366.3,235078,10.3,9.3,9499,Train
01/12/1983,2393.6,235235,10.1,8.7,9331,Train
01/01/1984,2419.4,235385,10,9.1,9008,Train
01/02/1984,2403.5,235527,11.7,8.3,8791,Train
01/03/1984,2431.6,235675,11.5,8.3,8746,Train
01/04/1984,2457.5,235839,11.5,8.2,8762,Train
01/05/1984,2474.5,235993,11.1,9.1,8456,Train
01/06/1984,2495.6,236160,11.1,7.5,8226,Train
01/07/1984,2494.6,236348,11.6,7.5,8537,Train
01/08/1984,2512.2,236549,11.8,7.3,8519,Train
01/09/1984,2533.8,236760,11.8,7.6,8367,Train
01/10/1984,2531.3,236976,11.7,7.2,8381,Train
01/11/1984,2571.4,237159,10.9,7.2,8198,Train
01/12/1984,2582.6,237316,11.2,7.3,8358,Train
01/01/1985,2618.8,237468,10.3,6.8,8423,Train
01/02/1985,2640.8,237602,9.1,7.1,8321,Train
01/03/1985,2648.5,237732,8.7,7.1,8339,Train
01/04/1985,2659.5,237900,9.9,6.9,8395,Train
01/05/1985,2696.4,238074,11.1,6.9,8302,Train
01/06/1985,2689.4,238270,9.6,6.6,8460,Train
01/07/1985,2715.7,238466,9.1,6.9,8513,Train
01/08/1985,2752.1,238679,8.2,7.1,8196,Train
01/09/1985,2794.7,238898,7.3,6.9,8248,Train
01/10/1985,2755.8,239113,9.1,7.1,8298,Train
01/11/1985,2771.1,239307,9,7,8128,Train
01/12/1985,2811.3,239477,8.6,6.8,8138,Train
01/01/1986,2827.1,239638,8.6,6.7,7795,Train
01/02/1986,2820.2,239788,9.3,6.9,8402,Train
01/03/1986,2823.6,239928,9.9,6.8,8383,Train
01/04/1986,2835.2,240094,9.7,6.7,8364,Train
01/05/1986,2857.5,240271,9.3,6.8,8439,Train
01/06/1986,2861.7,240459,9.4,7,8508,Train
01/07/1986,2881.2,240651,9.3,6.9,8319,Train
01/08/1986,2898.6,240854,9,7.1,8135,Train
01/09/1986,2971.8,241068,7.2,7.4,8310,Train
01/10/1986,2932.9,241274,8.4,7,8243,Train
01/11/1986,2928.4,241467,8.8,7.1,8159,Train
01/12/1986,2997.1,241620,7,7.1,7883,Train
01/01/1987,2935.5,241784,9.7,6.9,7892,Train
01/02/1987,3001.7,241930,8.5,6.6,7865,Train
01/03/1987,3013.3,242079,8.5,6.6,7862,Train
01/04/1987,3038.8,242252,4.5,7.1,7542,Train
01/05/1987,3048.4,242423,8.2,6.6,7574,Train
01/06/1987,3072.8,242608,7.7,6.5,7398,Train
01/07/1987,3094.7,242804,7.5,6.5,7268,Train
01/08/1987,3130.8,243012,7.2,6.4,7261,Train
01/09/1987,3126.5,243223,7.6,6,7102,Train
01/10/1987,3134.5,243446,8.3,6.3,7227,Train
01/11/1987,3144.2,243639,8.5,6.2,7035,Train
01/12/1987,3174.1,243809,8.7,6,6936,Train
01/01/1988,3213.7,243981,8.1,6.2,6953,Train
01/02/1988,3221.4,244131,8.6,6.3,6929,Train
01/03/1988,3260.5,244279,8.2,6.4,6876,Train
01/04/1988,3263,244445,8.8,5.9,6601,Train
01/05/1988,3293.6,244610,8.4,5.9,6779,Train
01/06/1988,3318.5,244806,8.4,5.8,6546,Train
01/07/1988,3342.7,245021,8.6,6.1,6605,Train
01/08/1988,3368,245240,8.4,5.9,6843,Train
01/09/1988,3375,245464,8.9,5.7,6604,Train
01/10/1988,3413.7,245693,8.6,5.6,6568,Train
01/11/1988,3430.2,245884,8.4,5.7,6537,Train
01/12/1988,3459.7,246056,8.3,5.9,6518,Train
01/01/1989,3483.7,246224,8.5,5.6,6682,Train
01/02/1989,3488,246378,9,5.4,6359,Train
01/03/1989,3498.8,246530,9.5,5.4,6205,Train
01/04/1989,3543,246721,8.4,5.4,6468,Train
01/05/1989,3551.8,246906,8.1,5.3,6375,Train
01/06/1989,3566.6,247114,8.2,5.4,6577,Train
01/07/1989,3585.7,247342,8.2,5.6,6495,Train
01/08/1989,3620.6,247573,7.6,5,6511,Train
01/09/1989,3621.9,247816,8.1,4.9,6590,Train
01/10/1989,3633.6,248067,8.5,4.9,6630,Train
01/11/1989,3643.3,248281,8.6,4.8,6725,Train
01/12/1989,3684.2,248479,7.8,4.9,6667,Train
01/01/1990,3730.7,248659,8,5.1,6752,Train
01/02/1990,3728.2,248827,8.6,5.3,6651,Train
01/03/1990,3754.9,249012,8.3,5.1,6598,Train
01/04/1990,3770,249306,8.8,4.8,6797,Train
01/05/1990,3775.8,249565,8.7,5.2,6742,Train
01/06/1990,3804.5,249849,8.6,5.2,6590,Train
01/07/1990,3821.7,250132,8.7,5.4,6922,Train
01/08/1990,3848.3,250439,8.1,5.4,7188,Train
01/09/1990,3870.1,250751,8.1,5.6,7368,Train
01/10/1990,3870.6,251057,7.8,5.8,7459,Train
01/11/1990,3871.9,251346,7.9,5.7,7764,Train
01/12/1990,3861.3,251626,8.8,5.9,7901,Train
01/01/1991,3841,251889,9.3,6,8015,Train
01/02/1991,3866.7,252135,8.8,6.2,8265,Train
01/03/1991,3913,252372,8,6.7,8586,Train
01/04/1991,3907.1,252643,8.6,6.6,8439,Train
01/05/1991,3933.2,252913,8.4,6.4,8736,Train
01/06/1991,3940.5,253207,8.9,6.9,8692,Train
01/07/1991,3966,253493,8.2,7,8586,Train
01/08/1991,3969.1,253807,8.6,7.3,8666,Train
